128 	 128 	 -1.480 	 4.587 
192 	 128 	 -1.537 	 4.300 
256 	 128 	 -1.653 	 3.848 
320 	 128 	 -1.736 	 3.365 
384 	 128 	 -1.962 	 2.980 
448 	 128 	 -1.954 	 2.558 
512 	 128 	 -2.001 	 2.147 
576 	 128 	 -2.210 	 1.794 
640 	 128 	 -2.278 	 1.289 
704 	 128 	 -2.417 	 0.964 
768 	 128 	 -2.504 	 0.639 
832 	 128 	 -2.566 	 0.116 
896 	 128 	 -2.668 	 -0.290 

128 	 192 	 -0.993 	 4.362 
192 	 192 	 -1.158 	 4.046 
256 	 192 	 -1.410 	 3.618 
320 	 192 	 -1.402 	 3.174 
384 	 192 	 -1.569 	 2.848 
448 	 192 	 -1.723 	 2.415 
512 	 192 	 -1.692 	 2.003 
576 	 192 	 -1.746 	 1.586 
640 	 192 	 -1.902 	 1.209 
704 	 192 	 -2.062 	 0.763 
768 	 192 	 -2.184 	 0.296 
832 	 192 	 -2.344 	 -0.132 
896 	 192 	 -2.318 	 -0.565 

128 	 256 	 -0.821 	 4.147 
192 	 256 	 -0.850 	 3.844 
256 	 256 	 -1.032 	 3.256 
320 	 256 	 -1.053 	 2.903 
384 	 256 	 -1.116 	 2.634 
448 	 256 	 -1.360 	 2.188 
512 	 256 	 -1.411 	 1.774 
576 	 256 	 -1.410 	 1.305 
640 	 256 	 -1.572 	 1.054 
704 	 256 	 -1.753 	 0.532 
768 	 256 	 -1.857 	 0.123 
832 	 256 	 -2.039 	 -0.237 
896 	 256 	 -2.003 	 -0.736 

128 	 320 	 -0.398 	 4.073 
192 	 320 	 -0.499 	 3.717 
256 	 320 	 -0.662 	 3.178 
320 	 320 	 -0.764 	 2.801 
384 	 320 	 -0.831 	 2.349 
448 	 320 	 -0.913 	 2.014 
512 	 320 	 -1.043 	 1.558 
576 	 320 	 -1.049 	 1.088 
640 	 320 	 -1.219 	 0.717 
704 	 320 	 -1.293 	 0.251 
768 	 320 	 -1.436 	 -0.043 
832 	 320 	 -1.635 	 -0.419 
896 	 320 	 -1.608 	 -0.977 

128 	 384 	 0.073 	 3.736 
192 	 384 	 -0.101 	 3.303 
256 	 384 	 -0.283 	 3.023 
320 	 384 	 -0.441 	 2.657 
384 	 384 	 -0.517 	 2.243 
448 	 384 	 -0.597 	 1.903 
512 	 384 	 -0.695 	 1.308 
576 	 384 	 -0.795 	 0.893 
640 	 384 	 -0.842 	 0.492 
704 	 384 	 -0.941 	 0.138 
768 	 384 	 -1.090 	 -0.296 
832 	 384 	 -1.278 	 -0.759 
896 	 384 	 -1.298 	 -1.147 

128 	 448 	 0.359 	 3.534 
192 	 448 	 0.254 	 3.115 
256 	 448 	 0.111 	 2.789 
320 	 448 	 0.030 	 2.346 
384 	 448 	 -0.086 	 2.004 
448 	 448 	 -0.183 	 1.589 
