64 64 0.364370 5.978546
128 64 0.145299 6.023405
192 64 -2.518293 6.127255
256 64 -2.028842 3.591183
320 64 -3.676244 2.106194
384 64 -16.442440 26.360859
448 64 -4.843974 0.161462
64 128 1.463803 5.247755
128 128 0.433288 4.231447
192 128 0.157664 4.240810
256 128 -1.019183 2.378517
320 128 -1.886629 0.812879
384 128 -3.319258 0.073723
448 128 -4.297015 -0.534718
64 192 7.314440 6.194912
128 192 1.639917 4.154654
192 192 0.912788 2.444550
256 192 -0.395067 1.839185
320 192 -1.331985 0.312825
384 192 -2.428005 -0.711494
448 192 -3.729654 -1.938987
64 256 3.272556 4.066178
128 256 2.664228 2.684787
192 256 2.102830 2.155683
256 256 0.850546 0.588396
320 256 -0.472466 -0.217107
384 256 -1.034010 -1.034639
448 256 -1.395197 -2.856653
64 320 5.070444 2.653545
128 320 4.010113 1.713601
192 320 2.454598 0.963052
256 320 1.868095 -0.595767
320 320 -0.108895 -1.971340
384 320 0.465526 -2.750272
448 320 -0.709667 -4.158004
64 384 5.387730 2.039503
128 384 4.825164 0.555452
192 384 3.898966 -0.018679
256 384 2.322236 -0.705348
320 384 1.936434 -2.633108
384 384 1.272578 -3.379693
448 384 -0.351507 -4.329337
64 448 6.957005 0.853499
128 448 5.701314 -0.013468
192 448 4.971043 -1.343590
256 448 4.081373 -2.378421
320 448 2.518468 -3.265573
384 448 2.261693 -4.289226
448 448 29.685738 17.513647
